,0,1,2,3,4,5,6,7,8,9,10
11,33871890,2022-10-17 17:22:06,SELL,0.08,XAUUSD,1667.07,1661.76,4.20,41.95,4.20 pips,
12,33870440,2022-10-17 17:22:06,SELL,0.06,XAUUSD,1665.57,1661.71,2.28,22.76,2.28 pips,
13,33869548,2022-10-17 17:22:07,SELL,0.06,XAUUSD,1665.14,1661.71,2.02,20.18,2.02 pips,
14,33869492,2022-10-17 17:17:49,SELL,0.06,XAUUSD,1663.37,1662.51,0.48,4.76,0.48 pips,
15,33869410,2022-10-17 17:22:11,SELL,0.06,XAUUSD,1661.65,1661.80,-0.13,-1.30,-0.13 pips,
16,33869370,2022-10-17 17:22:10,SELL,0.06,XAUUSD,1659.19,1661.74,-1.57,-15.70,-1.57 pips,
17,33869285,2022-10-17 17:22:09,SELL,0.06,XAUUSD,1658.11,1661.77,-2.24,-22.36,-2.24 pips,
18,33869140,2022-10-17 17:22:08,SELL,0.06,XAUUSD,1657.09,1661.79,-2.86,-28.60,-2.86 pips,
19,33826753,2022-10-14 14:34:56,SELL,0.06,XAUUSD,1658.33,1658.29,-0.02,-0.16,-0.02 pips,1 2 3 4 5 ... 14
0,33824627,2022-10-14 14:08:24,SELL,0.04,XAUUSD,1657.54,1655.22,0.90,9.01,0.90 pips,
1,33824536,2022-10-14 14:08:23,SELL,0.04,XAUUSD,1656.92,1655.25,0.64,6.41,0.64 pips,
2,33824302,2022-10-14 14:08:24,SELL,0.04,XAUUSD,1655.87,1655.18,0.25,2.50,0.25 pips,
3,33824216,2022-10-14 14:08:25,SELL,0.04,XAUUSD,1655.06,1655.18,-0.07,-0.74,-0.07 pips,
4,33824163,2022-10-14 14:08:26,SELL,0.04,XAUUSD,1655.07,1655.17,-0.07,-0.66,-0.07 pips,
5,33824137,2022-10-14 14:08:22,SELL,0.04,XAUUSD,1653.47,1655.12,-0.69,-6.86,-0.69 pips,
6,33786748,2022-10-13 15:40:02,SELL,0.03,XAUUSD,1658.79,1655.69,0.91,9.10,0.91 pips,
