,0,1,2,3,4,5,6,7,8,9,10
13,34187991,2022-10-26 09:02:55,SELL,0.03,AUDNZD,1.11461,1.11349,0.19,1.85,0.19 pips,
14,34184829,2022-10-26 04:32:18,SELL,0.03,AUDNZD,1.11353,1.11243,0.18,1.82,0.18 pips,
15,34166875,2022-10-25 21:56:16,SELL,0.03,NZDCAD,0.78432,0.78326,0.23,2.27,0.23 pips,
16,34160631,2022-10-27 12:44:14,SELL,0.03,AUDCAD,0.86938,0.87754,-1.82,-18.23,-1.82 pips,
17,34147999,2022-10-25 14:44:04,BUY,0.03,NZDCAD,0.77979,0.78083,0.22,2.20,0.22 pips,
18,34147088,2022-10-25 15:25:16,SELL,0.03,AUDNZD,1.11120,1.11014,0.17,1.73,0.17 pips,
19,34131056,2022-10-25 08:49:55,SELL,0.03,NZDCAD,0.78351,0.78247,0.22,2.21,0.22 pips,1 2 3 4 5 ... 18
0,34103904,2022-10-24 17:28:49,BUY,0.03,NZDCAD,0.77813,0.78098,0.61,6.14,0.61 pips,
1,34100825,2022-10-24 17:24:19,SELL,0.03,AUDNZD,1.10971,1.10865,0.17,1.73,0.17 pips,
2,34089126,2022-10-24 17:28:49,BUY,0.03,NZDCAD,0.78272,0.78098,-0.39,-3.86,-0.39 pips,
3,34088870,2022-10-24 14:48:30,BUY,0.03,AUDCAD,0.86435,0.86541,0.23,2.25,0.23 pips,
4,34072146,2022-10-24 02:49:32,BUY,0.03,AUDNZD,1.10428,1.10534,0.18,1.75,0.18 pips,
5,34049133,2022-10-21 17:45:44,WITHDRAWAL,0.00,-30.29,,,,,,
6,34004382,2022-10-20 19:41:51,SELL,0.03,AUDCAD,0.86781,0.86676,0.22,2.22,0.22 pips,
7,33990562,2022-10-20 15:47:10,SELL,0.03,NZDCAD,0.78155,0.78049,0.22,2.24,0.22 pips,
8,33990323,2022-10-20 15:47:09,SELL,0.03,AUDCAD,0.86503,0.86395,0.23,2.28,0.23 pips,
9,33975209,2022-10-20 07:19:18,BUY,0.03,NZDCAD,0.77730,0.77836,0.22,2.24,0.22 pips,
10,33971184,2022-10-20 11:55:05,BUY,0.03,AUDCAD,0.86240,0.86360,0.22,2.21,0.22 pips,
