num,time,side,lot,sym,o,c,pip,size,pips,
112802475,2022-07-30 10:34:43,DEPOSIT,0,0.11,,,,,,
112802434,2022-07-30 10:31:40,DEPOSIT,0,0.21,,,,,,
112802425,2022-07-30 10:30:58,DEPOSIT,0,0.17,,,,,,
112802410,2022-07-30 10:29:51,DEPOSIT,0,0.01,,,,,,
112802407,2022-07-30 10:29:46,DEPOSIT,0,0.16,,,,,,
112802406,2022-07-30 10:29:44,DEPOSIT,0,0.07,,,,,,
112802397,2022-07-30 10:28:55,DEPOSIT,0,0.05,,,,,,
112802389,2022-07-30 10:28:40,DEPOSIT,0,0.06,,,,,,
112802373,2022-07-30 10:27:41,DEPOSIT,0,0.16,,,,,,
112802360,2022-07-30 10:27:18,DEPOSIT,0,0.11,,,,,,
112802358,2022-07-30 10:26:59,DEPOSIT,0,0.14,,,,,,
112802354,2022-07-30 10:26:52,DEPOSIT,0,0.04,,,,,,
112802345,2022-07-30 10:26:38,DEPOSIT,0,0.06,,,,,,
112802338,2022-07-30 10:25:35,DEPOSIT,0,0.16,,,,,,
112802316,2022-07-30 10:23:51,DEPOSIT,0,1.19,,,,,,
112802312,2022-07-30 10:23:38,DEPOSIT,0,0.01,1 2 3 4 5 6 7 ... 107,,,,,
112802520,2022-07-30 10:36:05,DEPOSIT,0,0.01,,,,,,
112802511,2022-07-30 10:36:02,DEPOSIT,0,0.01,,,,,,
112802498,2022-07-30 10:35:45,DEPOSIT,0,0.06,,,,,,
112802478,2022-07-30 10:34:52,DEPOSIT,0,0.16,,,,,,
112802475,2022-07-30 10:34:43,DEPOSIT,0,0.11,,,,,,
112802434,2022-07-30 10:31:40,DEPOSIT,0,0.21,,,,,,
112802425,2022-07-30 10:30:58,DEPOSIT,0,0.17,,,,,,
112802410,2022-07-30 10:29:51,DEPOSIT,0,0.01,,,,,,
112802407,2022-07-30 10:29:46,DEPOSIT,0,0.16,,,,,,
112802406,2022-07-30 10:29:44,DEPOSIT,0,0.07,,,,,,
112802397,2022-07-30 10:28:55,DEPOSIT,0,0.05,,,,,,
112802389,2022-07-30 10:28:40,DEPOSIT,0,0.06,,,,,,
112802373,2022-07-30 10:27:41,DEPOSIT,0,0.16,,,,,,
112802360,2022-07-30 10:27:18,DEPOSIT,0,0.11,,,,,,
112802358,2022-07-30 10:26:59,DEPOSIT,0,0.14,,,,,,
112802354,2022-07-30 10:26:52,DEPOSIT,0,0.04,,,,,,
112802345,2022-07-30 10:26:38,DEPOSIT,0,0.06,,,,,,
112802338,2022-07-30 10:25:35,DEPOSIT,0,0.16,,,,,,
112802316,2022-07-30 10:23:51,DEPOSIT,0,1.19,,,,,,
112802312,2022-07-30 10:23:38,DEPOSIT,0,0.01,1 2 3 4 5 6 7 ... 107,,,,,
112802152,2022-07-30 09:55:26,DEPOSIT,0,0.09,,,,,,
112802144,2022-07-30 09:53:31,DEPOSIT,0,0.33,,,,,,
112802139,2022-07-30 09:52:33,DEPOSIT,0,0.44,,,,,,
112802136,2022-07-30 09:52:02,DEPOSIT,0,0.16,,,,,,
112802128,2022-07-30 09:50:28,DEPOSIT,0,0.16,,,,,,
112802102,2022-07-30 09:44:00,DEPOSIT,0,0.16,,,,,,
112802093,2022-07-30 09:41:30,DEPOSIT,0,0.14,,,,,,
112802084,2022-07-30 09:39:57,DEPOSIT,0,0.16,,,,,,
112802083,2022-07-30 09:39:52,DEPOSIT,0,0.16,,,,,,
112802068,2022-07-30 09:37:21,DEPOSIT,0,0.14,,,,,,
112802048,2022-07-30 09:34:11,DEPOSIT,0,0.16,,,,,,
112802042,2022-07-30 09:32:20,DEPOSIT,0,0.16,,,,,,
112802041,2022-07-30 09:32:16,DEPOSIT,0,0.23,,,,,,
112802036,2022-07-30 09:31:46,DEPOSIT,0,0.01,,,,,,
