num,time,side,lot,sym,o,c,pip,size,pips
109880124,2022-05-16 21:38:37,BUY,0.0015,GBPUSD,1.23251,1.23117,-0.02,-0.24,-0.02 pips
109880026,2022-05-16 21:38:33,BUY,0.0013,GBPUSD,1.23251,1.23117,-0.02,-0.2,-0.02 pips
109879928,2022-05-16 21:38:29,BUY,0.0013,GBPUSD,1.2325,1.23115,-0.02,-0.21,-0.02 pips
109879830,2022-05-16 21:38:26,BUY,0.0013,GBPUSD,1.23246,1.23115,-0.02,-0.2,-0.02 pips
109879732,2022-05-16 21:38:22,BUY,0.0013,GBPUSD,1.23249,1.23117,-0.02,-0.2,-0.02 pips
109536128,2022-05-08 16:46:40,WITHDRAWAL,0,-25,,,,,
109203975,2022-05-05 10:00:00,SELL,0.0041,NZDCAD,0.83502,0.83026,0.15,1.45,0.15 pips
109061358,2022-05-04 14:30:00,BUY,0.0102,NZDCAD,0.82535,0.82716,0.14,1.37,0.14 pips
109027772,2022-05-04 21:15:00,BUY,0.0041,NZDCAD,0.82637,0.82752,0.04,0.34,0.04 pips
108824648,2022-05-03 16:44:45,BUY,0.0093,AUDCAD,0.90599,0.91346,0.54,5.09,0.54 pips
108799994,2022-05-01 00:29:50,DEPOSIT,0,0,,,,,
108799993,2022-05-01 00:29:50,DEPOSIT,0,0.01,,,,,
108781206,2022-05-04 21:48:01,BUY,0.004,NZDCAD,0.82899,0.82956,0.02,0.15,0.02 pips
108778775,2022-05-04 21:48:24,BUY,0.004,NZDCAD,0.82932,0.82978,0.01,0.12,0.01 pips
108774668,2022-05-02 03:08:45,BUY,0.004,NZDCAD,0.83007,0.83095,0.03,0.26,0.03 pips
108652184,2022-05-02 03:14:27,BUY,0.004,NZDCAD,0.83035,0.83137,0.03,0.29,0.03 pips
108639369,2022-04-29 14:00:01,BUY,0.0037,AUDCAD,0.90981,0.91315,0.1,0.91,0.10 pips
108630735,2022-05-04 14:30:01,BUY,0.004,NZDCAD,0.8308,0.82718,-0.11,-1.09,-0.11 pips
108630324,2022-04-29 13:30:02,BUY,0.004,NZDCAD,0.83085,0.83219,0.04,0.39,0.04 pips
108630065,2022-05-02 03:15:00,BUY,0.004,NZDCAD,0.83084,0.83161,0.02,0.22,0.02 pips
108530304,2022-04-28 10:38:58,BUY,0.0037,AUDCAD,0.91009,0.91621,0.18,1.68,0.18 pips
108068784,2022-04-27 05:18:56,BUY,0.0036,AUDNZD,1.08437,1.08842,0.09,0.89,0.09 pips
108056836,2022-04-27 05:18:56,BUY,0.0036,AUDNZD,1.08536,1.08842,0.07,0.67,0.07 pips
108056685,2022-04-26 06:15:02,BUY,0.0036,AUDNZD,1.08537,1.08729,0.04,0.42,0.04 pips
108056480,2022-04-26 07:30:00,BUY,0.0036,AUDNZD,1.08531,1.0877,0.06,0.53,0.06 pips
108056275,2022-04-26 05:45:01,BUY,0.0036,AUDNZD,1.08523,1.08628,0.02,0.23,0.02 pips
108055997,2022-04-27 05:18:55,BUY,0.0036,AUDNZD,1.08514,1.08842,0.08,0.72,0.08 pips
108055523,2022-04-27 05:18:54,BUY,0.0036,AUDNZD,1.08517,1.08842,0.08,0.71,0.08 pips
108055240,2022-04-26 04:44:39,BUY,0.0036,AUDNZD,1.08529,1.08575,0.01,0.1,0.01 pips
108053204,2022-04-27 05:18:55,BUY,0.0036,AUDNZD,1.08597,1.08842,0.06,0.53,0.06 pips
108034187,2022-04-26 06:00:01,BUY,0.0036,AUDNZD,1.08656,1.08669,0,0.02,0.00 pips
108021166,2022-04-26 06:13:33,BUY,0.0036,AUDCAD,0.91202,0.91804,0.17,1.58,0.17 pips
